"unlist.names_spec.","unlist.years_spec.","unlist.times_spec.","unlist.av_rates_spec.","unlist.directors_spec.","unlist.countries_spec.","unlist.genres1_spec.","unlist.genres2_spec."
"Step Up 2","2008","1h 38m","6,8","Jon M. Chu","USA","Romans","Muzyczny"
"G.I. Joe: Czas Kobry","2009","1h 58m","6,2","Stephen Sommers","USA","Akcja",NA
"Robin Hood: Książę złodziei","1991","2h 23m","7,2","Kevin Reynolds","USA","Przygodowy","Top 1991 roku #14"
"Indiana Jones: Jak powstawała trylogia","2003","2h 7m","7,8","Laurent Bouzereau","USA","Dokumentalny",NA
"Kolacja dla palantów","2010","1h 54m","5,8","Jay Roach","USA","Komedia",NA
"Przetrzymać tę miłość","2004","1h 40m","6,2","Roger Michell","Wielka Brytania","Dramat","Thriller"
"Święty interes","2010","1h 26m","4,8","Maciej Wojtyszko","Polska","Komedia obycz.",NA
"Pan Tadeusz","1999","2h 27m","6,3","Andrzej Wajda","Francja","Dramat","Kostiumowy"
"Podaj dalej","2000","2h 4m","7,6","Mimi Leder","USA","Dramat","Najlepsze filmy #314"
"Sky Kapitan i świat jutra","2004","1h 47m","5,8","Kerry Conran","USA","Przygodowy","Sci-Fi"
"Ali G","2002","1h 28m","6,5","Mark Mylod","Wielka Brytania","Komedia","Top 2002 roku #85"
"Dirty Dancing","1987","1h 40m","7,4","Emile Ardolino","USA","Melodramat","Muzyczny"
"Pociąg z forsą","1995","1h 46m","6,4","Joseph Ruben","USA","Komedia","Sensacyjny"
"I kto to mówi","1989","1h 33m","6,9","Amy Heckerling","USA","Familijny","Komedia"
"Czterej bracia","2005","1h 49m","7,2","John Singleton","USA","Sensacyjny","Top 2005 roku #45"
"Joanna d'Arc","1999","2h 32m","6,9","Luc Besson","Francja","Biograficzny","Dramat historyczny"
"Zmierzch","2008","2h 2m","5,6","Catherine Hardwicke","USA","Horror","Romans"
"Trzynaście duchów","2001","1h 31m","5,9","Steve Beck","USA","Horror",NA
"Speed: Niebezpieczna prędkość","1994","1h 56m","6,8","Jan De Bont","USA","Sensacyjny","Top 1994 roku #34"
"Ostatni król Szkocji","2006","2h 3m","7,5","Kevin Macdonald","Wielka Brytania","Dramat","Najlepsze filmy #496"
"Super zioło","2001","1h 33m","6,9","Jesse Dylan","USA","Komedia","Top 2001 roku #51"
"Kuloodporny","2003","1h 44m","6,1","Paul Hunter","USA","Komedia","Akcja"
"Gremliny rozrabiają","1984","1h 42m","6,1","Joe Dante","USA","Fantasy","Horror"
"Gremliny 2","1990","1h 46m","6,1","Joe Dante","USA","Fantasy","Horror"
"Roboty","2005","1h 31m","6,5","Chris Wedge","USA","Animacja","Familijny"
"Beethoven 2","1993","1h 29m","5,9","Rod Daniel","USA","Familijny","Komedia rom."
"Flintstonowie","1994","1h 31m","5,7","Brian Levant","USA","Familijny","Komedia"
"Beethoven","1992","1h 27m","6,3","Brian Levant","USA","Familijny","Komedia"
"George prosto z drzewa","1997","1h 32m","5,5","Sam Weisman","USA","Familijny","Komedia"
"Shrek ma wielkie oczy","2010","21m","6,8","Gary Trousdale","USA","Animacja","Familijny"
"Cztery pokoje","1995","1h 38m","7,4","Quentin Tarantino","USA","Czarna komedia","Top 1995 roku #20"
"Czekolada","2000","2h 1m","7,5","Lasse Hallström","USA","Dramat","Komedia"
"Jak rozpętałem drugą wojnę światową","1969","3h 56m","7,9","Tadeusz Chmielewski","Polska","Komedia","Przygodowy"
"50 pierwszych randek","2004","1h 39m","6,8","Peter Segal","USA","Komedia rom.","Top 2004 roku #61"
"Blade: Wieczny łowca II","2002","1h 57m","6,9","Guillermo del Toro","USA","Horror","Akcja"
"Blade - Wieczny łowca","1998","2h","7,0","Stephen Norrington","USA","Horror","Akcja"
"Ziemia żywych trupów","2005","1h 37m","5,4","George A. Romero","USA","Horror",NA
"Świt żywych trupów","2004","1h 37m","6,3","Zack Snyder","USA","Horror",NA
"Bracie, gdzie jesteś?","2000","1h 46m","7,2","Joel Coen","USA","Komedia","Przygodowy"
"Ladykillers, czyli zabójczy kwintet","2004","1h 44m","6,4","Joel Coen","USA","Komedia kryminalna",NA
"Szkoła uwodzenia","1999","1h 37m","6,6","Roger Kumble","USA","Dramat","Thriller"
"Koszmar następnego lata","1998","1h 40m","5,8","Danny Cannon","USA","Horror","Top 1998 roku #90"
"Wielki podryw","2001","1h 58m","6,6","David Mirkin","USA","Kryminał","Komedia rom."
"Koszmar minionego lata","1997","1h 40m","6,1","Jim Gillespie","USA","Horror","Top 1997 roku #79"
"Scooby-Doo","2002","1h 27m","5,7","Raja Gosnell","USA","Familijny","Fantasy"
"Scooby-Doo 2: Potwory na gigancie","2004","1h 33m","5,9","Raja Gosnell","USA","Familijny","Komedia"
"Grudge - Klątwa 2","2006","1h 42m","5,9","Takashi Shimizu","USA","Horror",NA
"Batman Forever","1995","2h 2m","6,1","Joel Schumacher","USA","Fantasy","Akcja"
"Batman: Rycerz Gotham","2008","1h 15m","6,5","Yoshiaki Kawajiri","USA","Animacja","Akcja"
"Wilcze prawo: 1974","2009","1h 42m","6,5","Julian Jarrold","Wielka Brytania","Dramat","Kryminał"
"Dzień dobry TV","2010","1h 47m","6,3","Roger Michell","USA","Dramat","Komedia"
"Starsky i Hutch","2004","1h 41m","6,2","Todd Phillips","USA","Komedia kryminalna",NA
"Nadchodzi Polly","2004","1h 30m","6,1","John Hamburg","USA","Komedia rom.",NA
"Gang Dzikich Wieprzy","2007","1h 39m","6,4","Walt Becker","USA","Komedia","Przygodowy"
"Ghost Rider","2007","1h 54m","6,3","Mark Steven Johnson","USA","Fantasy","Akcja"
"Oszukać przeznaczenie 3","2006","1h 33m","6,1","James Wong","USA","Horror",NA
"Oszukać przeznaczenie 2","2003","1h 30m","6,4","David R. Ellis","USA","Horror","Top 2003 roku #99"
"King Kong","2005","3h 7m","6,5","Peter Jackson","USA","Fantasy","Melodramat"
"The International","2009","1h 58m","6,5","Tom Tykwer","USA","Thriller","Akcja"
"Final Fantasy","2001","1h 46m","6,9","Hironobu Sakaguchi","USA","Animacja","Akcja"
"Underworld: Evolution","2006","1h 46m","7,2","Len Wiseman","USA","Horror","Akcja"
"Underworld","2003","2h 1m","7,2","Len Wiseman","USA","Horror","Akcja"
"Rogate ranczo","2004","1h 16m","6,4","Will Finn","USA","Animacja","Familijny"
"Pianista","2002","2h 30m","8,3","Roman Polański","Francja","Biograficzny","Dramat"
"Dziewczyna moich koszmarów","2007","1h 55m","5,9","Bobby Farrelly","USA","Komedia rom.",NA
"Telemaniak","1996","1h 36m","6,4","Ben Stiller","USA","Czarna komedia","Top 1996 roku #52"
"Grinch: świąt nie będzie","2000","1h 44m","6,1","Ron Howard","USA","Familijny","Fantasy"
"Lemony Snicket: Seria niefortunnych zdarzeń","2004","1h 45m","7,0","Brad Silberling","USA","Familijny","Przygodowy"
"Dick i Jane: Niezły ubaw","2005","1h 30m","6,5","Dean Parisot","USA","Komedia kryminalna",NA
"Madagaskar","2005","1h 26m","7,5","Tom McGrath","USA","Animacja","Familijny"
"Madagaskar 2","2008","1h 29m","7,1","Eric Darnell","USA","Animacja","Familijny"
"Historia przemocy","2005","1h 36m","7,0","David Cronenberg","USA","Dramat","Thriller"
"Ace Ventura: Zew natury","1995","1h 45m","6,5","Steve Oedekerk","USA","Komedia","Przygodowy"
"Śmierć nadejdzie jutro","2002","2h 13m","6,8","Lee Tamahori","USA","Sensacyjny","Top 2002 roku #58"
"Świat to za mało","1999","2h 8m","7,0","Michael Apted","Wielka Brytania","Sensacyjny","Top 1999 roku #45"
"Jutro nie umiera nigdy","1997","1h 59m","7,0","Roger Spottiswoode","USA","Sensacyjny","Top 1997 roku #37"
"GoldenEye","1995","2h 10m","7,1","Martin Campbell","USA","Sensacyjny","Top 1995 roku #32"
"Licencja na zabijanie","1989","2h 13m","7,0","John Glen","Wielka Brytania","Sensacyjny","Top 1989 roku #28"
"Zapach kobiety","1992","2h 37m","8,1","Martin Brest","USA","Dramat","Najlepsze filmy #38"
"Kogel-mogel","1988","1h 45m","7,2","Roman Załuski","Polska","Komedia obycz.","Top 1988 roku #14"
"Max Payne","2008","1h 40m","5,8","John Moore","USA","Kryminał","Akcja"
"Mortal Kombat: Początek Wyprawy","1995","54m","5,5","Joseph Francis","USA","Animacja","Akcja"
"Mortal Kombat: Ostateczna rozgrywka","2001","1h 23m","5,4","Reza Badiyi","USA","Fantasy","Akcja"
"Mortal Kombat","1995","1h 41m","6,4","Paul W.S. Anderson","USA","Fantasy","Akcja"
"Istota","2009","1h 47m","5,2","Vincenzo Natali","Kanada","Thriller","Sci-Fi"
"Skandalista Larry Flynt","1996","2h 9m","7,1","Miloš Forman","USA","Dramat","Biograficzny"
"Polowanie na Czerwony Październik","1990","2h 14m","7,7","John McTiernan","USA","Sensacyjny","Najlepsze filmy #294"
"Dekalog VI","1988","58m","8,0","Krzysztof Kieślowski","Polska","Dramat","Psychologiczny"
"Dekalog IV","1988","55m","7,9","Krzysztof Kieślowski","Polska","Dramat","Psychologiczny"
"Noc żywych trupów","1968","1h 36m","7,1","George A. Romero","USA","Horror","Top 1968 roku #10"
"Martwica mózgu","1992","1h 44m","6,8","Peter Jackson","Nowa Zelandia","Horror","Komedia"
"Harry Potter i Insygnia Śmierci: Część I","2010","2h 26m","7,5","David Yates","Wielka Brytania","Familijny","Fantasy"
"Harry Potter i Insygnia Śmierci: Część II","2011","2h 10m","7,7","David Yates","USA","Familijny","Fantasy"
"Pani Doubtfire","1993","2h 5m","7,0","Chris Columbus","USA","Dramat","Komedia"
"Trzynastka","2003","1h 40m","6,7","Catherine Hardwicke","USA","Dramat","Top 2003 roku #88"
"Nowe szaty króla 2: Kronk - Nowe wcielenie","2005","1h 12m","6,7","Saul Blinkoff","USA","Animacja","Familijny"
"Poranek kojota","2001","1h 32m","7,3","Olaf Lubaszenko","Polska","Komedia","Sensacyjny"
"Fuks","1999","1h 26m","6,6","Maciej Dutkiewicz","Polska","Komedia","Sensacyjny"
"Wojownicze Żółwie Ninja III","1993","1h 33m","6,1","Stuart Gillard","USA","Familijny","Fantasy"
"Egzorcysta 2 i 1/2","1990","1h 20m","5,9","Bob Logan","USA","Horror","Komedia"
"Czy leci z nami pilot?","1980","1h 28m","7,0","Jim Abrahams","USA","Komedia","Top 1980 roku #9"
"Naga broń 2 1/2: Kto obroni prezydenta?","1991","1h 25m","7,1","David Zucker","USA","Komedia","Sensacyjny"
"Naga broń 33 1/3: Ostateczna zniewaga","1994","1h 23m","7,1","Peter Segal","USA","Komedia","Sensacyjny"
"Szklanką po łapkach","1996","1h 21m","6,7","Rick Friedberg","USA","Komedia","Akcja"
"Straszny film 4","2006","1h 23m","5,9","David Zucker","USA","Komedia",NA
"Superhero","2008","1h 15m","5,7","Craig Mazin","USA","Komedia",NA
"Buffalo Soldiers","2001","1h 38m","6,9","Gregor Jordan","Niemcy","Czarna komedia",NA
"Johnny English","2003","1h 28m","6,5","Peter Howitt","Wielka Brytania","Komedia","Szpiegowski"
