"unlist.names_spec.","unlist.years_spec.","unlist.times_spec.","unlist.av_rates_spec.","unlist.directors_spec.","unlist.countries_spec.","unlist.genres1_spec.","unlist.genres2_spec."
"Głosy","2005","1h 41m","6,3","Geoffrey Sax","Kanada","Horror",NA
"Lekcja polskiego kina","2002","1h 11m","5,8","Andrzej Wajda","Polska","Dokumentalny",NA
"Żuławski o Żuławskim","2000","50m","7,1","Jakub Skoczeń","Polska","Biograficzny","Dokumentalny"
"Gra Geriego","1997","4m","7,1","Jan Pinkava","USA","Animacja","Familijny"
"Odbijany","2003","5m","6,3","Bud Luckey","USA","Animacja","Musical"
"Niemowlę kontratakuje","2005","5m","6,8","Brad Bird","USA","Animacja","Familijny"
"Człowiek-Orkiestra","2005","4m","7,0","Mark Andrews","USA","Animacja","Familijny"
"Nie przeszkadzać","2006","5m","6,9","Gary Rydstrom","USA","Animacja","Sci-Fi"
"Twój przyjaciel szczur","2007","11m","6,4","Jim Capobianco","USA","Animacja","Krótkometrażowy"
"Nadzwyczajna misja Asa","2009","5m","6,5","Ronnie Del Carmen","USA","Animacja","Komedia"
"Zaburzenie częściowe","2009","6m","7,7","Peter Sohn","USA","Animacja","Komedia"
"Niewinni czarodzieje","1960","1h 27m","7,9","Andrzej Wajda","Polska","Dramat","Psychologiczny"
"Fantastyczna Czwórka","2015","1h 40m","4,8","Josh Trank","USA","Akcja","Sci-Fi"
"Nieracjonalny mężczyzna","2015","1h 36m","6,1","Woody Allen","USA","Dramat","Komedia"
"300","2006","1h 57m","7,5","Zack Snyder","USA","Dramat historyczny","Najlepsze filmy #376"
"Stalingrad","1993","2h 14m","7,6","Joseph Vilsmaier","Niemcy","Dramat","Wojenny"
"Jak działa jamniczek","1971","8m","7,4","Julian Józef Antonisz","Polska","Animacja","Surrealistyczny"
"O dziewczynie, która wraca nocą sama do domu","2014","1h 44m","6,9","Ana Lily Amirpour","USA","Horror","Romans"
"Drogówka","2013","1h 58m","7,1","Wojciech Smarzowski","Polska","Kryminał","Obyczajowy"
"Joanna","2013","45m","7,1","Aneta Kopacz","Polska","Dokumentalny","Krótkometrażowy"
"Kochaj i tańcz","2009","2h 3m","4,9","Bruce Parramore","Polska","Komedia rom.","Muzyczny"
"Rodzina Addamsów 2","1993","1h 34m","7,2","Barry Sonnenfeld","USA","Czarna komedia","Top 1993 roku #27"
"Rodzina Addamsów","1991","1h 39m","7,3","Barry Sonnenfeld","USA","Czarna komedia","Top 1991 roku #15"
"Planeta małp","2001","1h 59m","6,0","Tim Burton","USA","Przygodowy","Sci-Fi"
"Alicja w Krainie Czarów","2010","1h 48m","7,1","Tim Burton","USA","Familijny","Fantasy"
"Wykolejona","2015","2h 5m","5,6","Judd Apatow","USA","Komedia",NA
"Rent","2005","2h 15m","7,2","Chris Columbus","USA","Dramat","Musical"
"Dzisiejsze czasy","1936","1h 27m","8,1","Charlie Chaplin","USA","Komedia","Niemy"
"Stalker","1979","2h 43m","7,9","Andriej Tarkowski","ZSRR","Sci-Fi","Dramat obyczajowy"
"Tootsie","1982","1h 59m","7,5","Sydney Pollack","USA","Komedia","Top 1982 roku #12"
"P.S. Kocham cię","2007","2h 6m","7,4","Richard LaGravenese","USA","Melodramat","Top 2007 roku #19"
"To skomplikowane","2009","2h","6,8","Nancy Meyers","USA","Komedia rom.","Top 2009 roku #77"
"Straszny film 3","2003","1h 24m","6,1","David Zucker","USA","Komedia",NA
"Gorączka lodu","2015","7m","6,6","Chris Buck","Animacje Disneya","Animacja","Przygodowy"
"Biały cień","2013","1h 50m","6,5","Noaz Deshe","Tanzania","Dramat",NA
"Martwe zło","1981","1h 25m","6,7","Sam Raimi","USA","Horror","Top 1981 roku #19"
"Mission: Impossible - Rogue Nation","2015","2h 11m","6,9","Christopher McQuarrie","USA","Sensacyjny","Top 2015 roku #51"
"Kwiat wiśni i czerwona fasola","2015","1h 53m","7,5","Naomi Kawase","Japonia","Dramat",NA
"Gołąb przysiadł na gałęzi i rozmyśla o istnieniu","2014","1h 41m","6,6","Roy Andersson","Szwecja","Dramat","Surrealistyczny"
"Lobster","2015","1h 58m","6,8","Yórgos Lánthimos","Wielka Brytania","Dramat","Sci-Fi"
"Syn Szawła","2015","1h 47m","6,9","László Nemes","Węgry","Dramat","Wojenny"
"Czarodziejska góra","2015","1h 35m","6,1","Anca Damian","Polska","Animacja","Dramat"
"Huba","2013","1h 6m","5,7","Wilhelm Sasnal","Polska","Dramat obyczajowy",NA
"Appleseed","2004","1h 45m","7,1","Shinji Aramaki","Japonia","Akcja","Sci-Fi"
"Ant-Man","2015","1h 57m","7,0","Peyton Reed","USA","Akcja","Sci-Fi"
"Gulczas, a jak myślisz?","2001","1h 40m","2,0","Jerzy Gruza","Polska","Komedia","Kryminał"
"Niebiańskie żony Łąkowych Maryjczyków","2012","1h 46m","7,2","Aleksiej Fiedorczenko","Rosja","Dramat",NA
"Dobry, zły i brzydki","1966","2h 59m","8,2","Sergio Leone","Włochy","Western","Najlepsze filmy #42"
"Ming z Harlemu","2014","1h 11m","5,6","Phillip Warnell","","Dokumentalny",NA
"Amy","2015","2h 7m","7,5","Asif Kapadia","","Biograficzny","Dokumentalny"
"The Smell of Us","2014","1h 32m","4,8","Larry Clark","Francja","Dramat",NA
"Facet (nie)potrzebny od zaraz","2014","1h 27m","4,7","Weronika Migoń","Polska","Komedia rom.",NA
"Anioły rewolucji","2014","1h 53m","6,6","Aleksiej Fiedorczenko","Rosja","Dramat",NA
"Zabójczyni","2015","1h 45m","5,6","Hsiao-hsien Hou","Tajwan","Dramat","Sztuki walki"
"Colombiana","2011","1h 47m","6,8","Olivier Megaton","Francja","Dramat","Akcja"
"Powrót do błękitnej laguny","1991","1h 41m","6,3","William A. Graham","USA","Melodramat","Przygodowy"
"O-bi, o-ba: Koniec cywilizacji","1984","1h 25m","7,3","Piotr Szulkin","Polska","Dramat","Sci-Fi"
"Ted 2","2015","1h 59m","6,2","Seth MacFarlane","USA","Komedia",NA
"Ted","2012","1h 46m","6,5","Seth MacFarlane","USA","Komedia",NA
"Nieśmiertelny","1986","1h 56m","7,3","Russell Mulcahy","USA","Fantasy","Top 1986 roku #9"
"Nimfomanka - Część II","2013","2h 3m","5,8","Lars von Trier","","Dramat","Erotyczny"
"Ciemna strona miasta","1999","2h 1m","7,1","Martin Scorsese","USA","Dramat","Top 1999 roku #63"
"Raport Pelikana","1993","2h 21m","7,2","Alan J. Pakula","USA","Thriller","Top 1993 roku #24"
"Historia świata: Część I","1981","1h 37m","6,9","Mel Brooks","USA","Historyczny","Komedia"
"Głosy","2014","1h 47m","6,3","Marjane Satrapi","USA","Thriller","Komedia kryminalna"
"Witajcie u mnie","2014","1h 27m","5,3","Shira Piven","USA","Dramat","Komedia"
"Lost River","2014","1h 35m","5,6","Ryan Gosling","USA","Fantasy","Thriller"
"Płonące siodła","1974","1h 33m","7,1","Mel Brooks","USA","Komedia","Western"
"W sieci kłamstw","2008","2h 8m","7,2","Ridley Scott","USA","Sensacyjny","Top 2008 roku #29"
"Idol","2015","1h 46m","7,0","Dan Fogelman","USA","Biograficzny","Dramat"
"Gdybym tylko tu był","2014","1h 46m","6,4","Zach Braff","USA","Dramat","Komedia"
"Uniwersalny żołnierz","1992","1h 39m","6,6","Roland Emmerich","USA","Akcja","Sci-Fi"
"Uniwersalny żołnierz: Dzień odrodzenia","2012","1h 54m","5,2","John Hyams","USA","Akcja","Sci-Fi"
"Hotel Marigold","2011","2h 4m","7,0","John Madden","Wielka Brytania","Dramat","Komedia"
"Łzy słońca","2003","2h 1m","7,3","Antoine Fuqua","USA","Dramat","Akcja"
"Terminator: Ocalenie","2009","1h 55m","6,5","McG","USA","Akcja","Sci-Fi"
"Manglehorn","2014","1h 37m","5,9","David Gordon Green","USA","Dramat",NA
"Ciężkie czasy","2005","2h","6,9","David Ayer","USA","Dramat","Sensacyjny"
"Strefa nagości","2014","1h 13m","4,8","Urszula Antoniak","Polska","Dramat",NA
"Strażnicy Galaktyki","2014","2h 1m","7,5","James Gunn","USA","Akcja","Sci-Fi"
"Mumia powraca","2001","2h 10m","6,7","Stephen Sommers","USA","Fantasy","Przygodowy"
"Mumia","1999","2h 5m","6,8","Stephen Sommers","USA","Fantasy","Przygodowy"
"Jak ukraść Księżyc","2010","1h 35m","7,4","Chris Renaud","USA","Animacja","Familijny"
"Czarny łabędź","2010","1h 48m","7,7","Darren Aronofsky","USA","Dramat","Psychologiczny"
"Ślepowidzenie","2014","1h 36m","6,5","Eskil Vogt","Norwegia","Dramat","Psychologiczny"
"Karol, który został świętym","2014","1h 15m","3,1","Grzegorz Sadurski","Polska","Animacja","Biograficzny"
"Ekipa","2015","1h 44m","6,1","Doug Ellin","USA","Komedia",NA
"Wysyp żywych trupów","2004","1h 39m","6,6","Edgar Wright","Wielka Brytania","Horror","Komedia"
"Lawa","2014","7m","7,0","James Ford Murphy","USA","Animacja","Romans"
"Wyspa tajemnic","2010","2h 18m","8,2","Martin Scorsese","USA","Dramat","Thriller"
"Dr Dolittle","1998","1h 25m","6,1","Betty Thomas","USA","Familijny","Komedia"
"Witajcie w dżungli","2003","1h 44m","6,5","Peter Berg","USA","Komedia","Przygodowy"
"Park Jurajski III","2001","1h 32m","6,6","Joe Johnston","USA","Przygodowy","Sci-Fi"
"Hotel 22","2014","8m","6,5","Elizabeth Lo","USA","Dokumentalny","Krótkometrażowy"
"Zaginiony Świat: Jurassic Park","1997","2h 9m","6,9","Steven Spielberg","USA","Przygodowy","Sci-Fi"
"San Andreas","2015","1h 54m","6,0","Brad Peyton","USA","Katastroficzny",NA
"Agentka","2015","2h","7,0","Paul Feig","USA","Komedia","Akcja"
"Kraina jutra","2015","2h 10m","6,2","Brad Bird","USA","Familijny","Sci-Fi"
"Diukowie Hazzardu","2005","1h 44m","6,5","Jay Chandrasekhar","USA","Komedia","Akcja"
"Kung Fury: Pięści czasu","2015","30m","7,5","David Sandberg","Szwecja","Komedia","Akcja"
"Na skraju jutra","2014","1h 53m","7,4","Doug Liman","USA","Akcja","Sci-Fi"
"12 małp","1995","2h 9m","7,6","Terry Gilliam","USA","Dramat","Sci-Fi"
"Więzień nienawiści","1998","1h 59m","8,2","Tony Kaye","USA","Dramat","Najlepsze filmy #29"
"Sexy Beast","2000","1h 28m","6,7","Jonathan Glazer","Hiszpania","Komedia kryminalna",NA
"Wideodrom","1983","1h 27m","6,9","David Cronenberg","Kanada","Thriller","Sci-Fi"
"Duże złe wilki","2013","1h 50m","6,8","Aharon Keshales","Izrael","Thriller",NA
"Nienawiść","1995","1h 36m","7,9","Mathieu Kassovitz","Francja","Dramat","Najlepsze filmy #299"
"Dom woskowych ciał","2005","1h 53m","5,4","Jaume Collet-Serra","USA","Horror",NA
"Mad Max 2 - Wojownik szos","1981","1h 31m","7,2","George Miller","Australia","Sensacyjny","Sci-Fi"
"Spokojnie, to tylko awaria...","1982","1h 25m","7,0","Ken Finkleman","USA","Komedia","Sci-Fi"
"Taxi 2","2000","1h 28m","7,0","Gérard Krawczyk","Francja","Komedia","Akcja"
"Taxi","1998","1h 25m","7,1","Gérard Pirès","Francja","Komedia","Akcja"
"Brud","2013","1h 37m","7,2","Jon S. Baird","Wielka Brytania","Dramat","Komedia kryminalna"
"Sekrety morza","2014","1h 33m","8,1","Tomm Moore","Dania","Animacja","Familijny"
"Party Girl","2014","1h 36m","6,3","Marie Amachoukeli","Francja","Dramat",NA
"Avengers: Czas Ultrona","2015","2h 21m","7,2","Joss Whedon","USA","Akcja","Sci-Fi"
"Taxi-Teheran","2015","1h 22m","6,6","Jafar Panahi","Iran","Dramat",NA
"Odyseja Alicji","2014","1h 37m","5,5","Lucie Borleteau","Francja","Dramat",NA
"Kalwaria","2014","1h 40m","7,0","John Michael McDonagh","Wielka Brytania","Dramat","Top 2014 roku #93"
"Gerontofilia","2013","1h 22m","5,8","Bruce La Bruce","Kanada","Komedia rom.",NA
"Pierwsza piątka","2014","1h 42m","5,5","Chris Rock","USA","Komedia",NA
"W potrzasku. Belfast '71","2014","1h 40m","6,7","Yann Demange","Wielka Brytania","Dramat","Akcja"
"Dzikie historie","2014","2h 2m","7,6","Damián Szifrón","Argentyna","Czarna komedia","Najlepsze filmy #366"
"Magical Girl","2014","2h 7m","7,1","Carlos Vermut","Hiszpania","Dramat",NA
"Rozrzućcie moje prochy nad świątynią mody","2013","1h 30m","6,4","Matthew Miele","USA","Dokumentalny",NA
"Onirica","2013","1h 35m","4,8","Lech Majewski","Polska","Dramat","Poetycki"
"Stary, kocham cię","2009","1h 44m","6,4","John Hamburg","USA","Komedia rom.",NA
"Dochodzenie","2008","1h 37m","6,4","Jennifer Lynch","USA","Thriller",NA
"Nocny pościg","2015","1h 54m","6,6","Jaume Collet-Serra","USA","Dramat","Kryminał"
"Vinci","2004","1h 48m","7,1","Juliusz Machulski","Polska","Komedia kryminalna","Top 2004 roku #36"
"Trainspotting","1996","1h 34m","7,8","Danny Boyle","Wielka Brytania","Dramat","Najlepsze filmy #137"
"Heavy Mental","2013","1h 39m","5,7","Sebastian Buttny","Polska","Dramat","Komedia"
"Mad Max","1979","1h 33m","6,9","George Miller","Australia","Sensacyjny","Sci-Fi"
"Bezsenność w Seattle","1993","1h 45m","6,9","Nora Ephron","USA","Dramat","Komedia"
"Dystans","2014","1h 20m","6,0","Sergio Caballero","Hiszpania","Sci-Fi",NA
"Szybcy i wściekli 7","2015","2h 20m","7,3","James Wan","USA","Akcja","Top 2015 roku #21"
"Selma","2014","2h 7m","6,7","Ava DuVernay","Wielka Brytania","Biograficzny","Dramat"
"Dumbo","1941","1h 1m","7,2","Ben Sharpsteen","USA","Animacja","Dla dzieci"
"Taśma","2001","1h 26m","7,1","Richard Linklater","USA","Dramat obyczajowy",NA
"Szybko i wściekle","2009","1h 47m","7,3","Justin Lin","USA","Akcja","Top 2009 roku #23"
"Szybcy i wściekli 6","2013","2h 10m","7,3","Justin Lin","USA","Akcja","Top 2013 roku #23"
"Do widzenia, do jutra...","1960","1h 20m","7,6","Janusz Morgenstern","Polska","Obyczajowy","Psychologiczny"
"Wszystko, co dobre","2010","1h 41m","6,6","Andrew Jarecki","USA","Melodramat","Thriller"
"Za szybcy, za wściekli","2003","1h 47m","7,2","John Singleton","USA","Akcja","Top 2003 roku #32"
"Szybcy i wściekli: Tokio Drift","2006","1h 44m","7,1","Justin Lin","USA","Akcja","Top 2006 roku #35"
"Szybcy i wściekli 5","2011","2h 10m","7,4","Justin Lin","USA","Akcja","Top 2011 roku #13"
"Koń by się uśmiał","2013","7m","6,6","Lauren MacMullan","Animacje Disneya","Animacja","Krótkometrażowy"
"Fantazja 2000","1999","1h 15m","7,6","Don Hahn","USA","Animacja","Musical"
"Czub-Czuby","2002","6m","6,8","Eric Armstrong","USA","Animacja","Komedia"
"Uczta","2014","6m","7,3","Patrick Osborne","USA","Animacja","Krótkometrażowy"
"Fantazja","1940","2h 4m","7,7","James Algar","USA","Animacja","Familijny"
"Gliniarz z Beverly Hills II","1987","1h 40m","7,2","Tony Scott","USA","Komedia kryminalna","Top 1987 roku #13"
"Gliniarz z Beverly Hills III","1994","1h 44m","6,9","John Landis","USA","Komedia kryminalna","Top 1994 roku #32"
"Beavis i Butt-Head zaliczają Amerykę","1996","1h 21m","6,9","Mike Judge","USA","Komedia","Kryminał"
"BURN-E","2008","8m","7,1","Angus MacLane","USA","Animacja","Familijny"
"Opowieść wigilijna Myszki Miki","1983","25m","7,6","Burny Mattinson","USA","Animacja","Familijny"
"101 Dalmatyńczyków II: Londyńska przygoda","2003","1h 10m","6,8","Jim Kammerud","USA","Animacja","Familijny"
"Krowy na wypasie","2006","1h 30m","5,9","Steve Oedekerk","USA","Animacja","Familijny"
"Ptasie sprawki","2000","3m","7,1","Ralph Eggleston","USA","Animacja","Familijny"
"Presto","2008","5m","7,5","Doug Sweetland","USA","Animacja","Komedia"
"9","2005","11m","7,4","Shane Acker","USA","Sci-Fi","Krótkometrażowy"
"Przygody Kubusia Puchatka","1977","1h 14m","7,8","Wolfgang Reitherman","USA","Animacja","Dla dzieci"
"Dinozaur","2000","1h 22m","7,2","Eric Leighton","USA","Animacja","Familijny"
"Księga dżungli","1967","1h 18m","7,0","Wolfgang Reitherman","Animacje Disneya","Animacja","Familijny"
"Włatcy móch. Ćmoki, Czopki i Mondzioły","2009","1h 37m","5,4","Bartosz Kędzierski","Polska","Komedia","Animacja dla dorosłych"
"Alicja w Krainie Czarów","1951","1h 15m","7,3","Hamilton Luske","USA","Animacja","Baśń"
"Wallace i Gromit: Klątwa królika","2005","1h 25m","6,9","Nick Park","Wielka Brytania","Animacja","Top 2005 roku #69"
"Bambi","1942","1h 10m","7,3","James Algar","USA","Animacja","Familijny"
"Książę Egiptu","1998","1h 37m","7,4","Simon Wells","USA","Animacja","Dramat"
"Piotruś Pan","1953","1h 17m","7,3","Hamilton Luske","Animacje Disneya","Animacja","Musical"
"Jeż Jerzy","2010","1h 20m","4,4","Wojtek Wawszczyk","Polska","Komedia obycz.","Animacja dla dorosłych"
"Szeregowiec Dolot","2005","1h 15m","6,1","Gary Chapman","Wielka Brytania","Animacja","Familijny"
"Mrówka Z","1998","1h 23m","6,4","Tim Johnson","USA","Animacja","Familijny"
"Królewna Śnieżka i siedmiu krasnoludków","1937","1h 23m","7,3","David Hand","USA","Animacja","Musical"
"Kopciuszek","1950","1h 12m","7,3","Hamilton Luske","Animacje Disneya","Animacja","Baśń"
"Śpiąca królewna","1959","1h 15m","7,3","Clyde Geronimi","USA","Animacja","Musical"
"Lilo i Stich 2: Mały feler Sticha","2005","1h 5m","6,8","Michael LaBash","USA","Animacja","Familijny"
"Dzwonnik z Notre Dame","1996","1h 31m","7,4","Kirk Wise","USA","Animacja","Familijny"
"Lilo i Stich","2002","1h 25m","7,3","Chris Sanders","USA","Animacja","Familijny"
"Uciekające kurczaki","2000","1h 24m","6,2","Nick Park","Wielka Brytania","Animacja","Dla dzieci"
"Dawno temu w trawie","1998","1h 36m","6,8","Andrew Stanton","USA","Animacja","Dla dzieci"
"Mała syrenka","1989","1h 23m","7,3","John Musker","USA","Animacja","Musical"
"WALL·E","2008","1h 38m","7,6","Andrew Stanton","USA","Animacja","Familijny"
"Cube Zero","2004","1h 37m","5,6","Ernie Barbarash","Kanada","Thriller","Sci-Fi"
"Cube 2","2002","1h 35m","5,9","Andrzej Sekuła","Kanada","Thriller","Sci-Fi"
"Pinokio","1940","1h 28m","7,0","Ben Sharpsteen","USA","Animacja","Familijny"
"Za czarną tęczą","2010","1h 50m","6,1","Panos Cosmatos","Kanada","Thriller","Sci-Fi"
"Automata","2014","1h 49m","5,9","Gabe Ibáñez","Hiszpania","Thriller","Sci-Fi"
"Serce, Serduszko","2014","1h 50m","6,9","Jan Jakub Kolski","Polska","Dramat",NA
"Coś za mną chodzi","2014","1h 40m","5,7","David Robert Mitchell","USA","Horror",NA
"Edukatorzy","2004","2h 7m","7,2","Hans Weingartner","Austria","Dramat",NA
"Iron Man 2","2010","2h 4m","7,3","Jon Favreau","USA","Akcja","Sci-Fi"
"Chappie","2015","2h","7,1","Neill Blomkamp","USA","Akcja","Sci-Fi"
"Upstream Color","2013","1h 36m","5,9","Shane Carruth","USA","Dramat","Sci-Fi"
"Interview","2007","1h 23m","6,7","Steve Buscemi","USA","Dramat obyczajowy",NA
"Ga, ga. Chwała bohaterom","1985","1h 24m","7,1","Piotr Szulkin","Polska","Sci-Fi",NA
"Wojna światów - następne stulecie","1981","1h 32m","7,2","Piotr Szulkin","Polska","Dramat","Sci-Fi"
"Kopciuszek","2015","1h 45m","6,6","Kenneth Branagh","USA","Familijny","Fantasy"
"Ex Machina","2014","1h 48m","7,3","Alex Garland","Wielka Brytania","Thriller","Sci-Fi"
"Źródło nadziei","2014","1h 51m","6,5","Russell Crowe","Australia","Dramat","Wojenny"
"Wielka Szóstka","2014","1h 42m","7,7","Don Hall","USA","Animacja","Komedia"
"Księga dżungli","1942","1h 48m","7,2","Zoltan Korda","USA","Familijny","Przygodowy"
"Gattaca - Szok przyszłości","1997","1h 46m","7,4","Andrew Niccol","USA","Dramat","Sci-Fi"
"Chłopiec i jego pies","1975","1h 31m","6,6","L.Q. Jones","USA","Dramat","Komedia"
"Odpoczniesz po śmierci","2003","1h 43m","5,7","Mike Hodges","USA","Dramat","Thriller"
"Immortal - Kobieta pułapka","2004","1h 42m","6,0","Enki Bilal","Francja","Thriller","Akcja"
"Titan - nowa Ziemia","2000","1h 34m","6,9","Art Vitello","USA","Animacja","Przygodowy"
"Rollerball","2002","1h 34m","4,6","John McTiernan","USA","Akcja","Sci-Fi"
"Ścieżki","2013","1h 50m","7,1","John Curran","Australia","Biograficzny","Dramat"
"Policyjna opowieść 2","1988","1h 41m","7,2","Jackie Chan","Hongkong","Komedia kryminalna",NA
"Policyjna opowieść 3: Superglina","1992","1h 35m","7,1","Stanley Tong","Hongkong","Komedia kryminalna",NA
"Medalion","2003","1h 28m","6,2","Gordon Chan","Hongkong","Fantasy","Komedia"
"W 80 dni dookoła świata","2004","2h","6,4","Frank Coraci","USA","Komedia","Przygodowy"
"Godziny szczytu 3","2007","1h 31m","7,1","Brett Ratner","USA","Akcja","Komedia kryminalna"
"Pocałunek smoka","2001","1h 38m","7,3","Chris Nahon","Francja","Akcja","Top 2001 roku #42"
"Romeo musi umrzeć","2000","1h 55m","6,8","Andrzej Bartkowiak","USA","Akcja","Top 2000 roku #56"
"Mroczne miasto","1998","1h 40m","7,2","Alex Proyas","USA","Thriller","Sci-Fi"
"Orzeł kontra rekin","2006","1h 33m","7,0","Taika Waititi","Nowa Zelandia","Komedia rom.",NA
"Gangster Squad. Pogromcy mafii","2013","1h 53m","6,6","Ruben Fleischer","USA","Dramat","Gangsterski"
"Leon zawodowiec","1994","1h 50m","8,1","Luc Besson","Francja","Dramat","Kryminał"
"Szybcy i wściekli","2001","1h 46m","7,5","Rob Cohen","USA","Akcja","Najlepsze filmy #466"
"Na fali","1991","2h","7,1","Kathryn Bigelow","USA","Sensacyjny","Top 1991 roku #26"
"Sposób na Szekspira","1996","1h 52m","6,8","Al Pacino","USA","Dokumentalny",NA
"Toy Story","1995","1h 20m","7,5","John Lasseter","USA","Animacja","Familijny"
"Ghost Dog: Droga samuraja","1999","1h 56m","7,3","Jim Jarmusch","USA","Dramat","Gangsterski"
"Władca Pierścieni: Drużyna Pierścienia","2001","2h 58m","8,0","Peter Jackson","Nowa Zelandia","Fantasy","Przygodowy"
"Trzy kolory: Czerwony","1994","1h 39m","7,8","Krzysztof Kieślowski","Francja","Dramat","Psychologiczny"
"Szklana pułapka","1988","2h 11m","7,5","John McTiernan","USA","Sensacyjny","Świąteczny"
"Zabójcza broń 2","1989","1h 54m","7,5","Richard Donner","USA","Komedia kryminalna","Top 1989 roku #4"
"Siódma pieczęć","1957","1h 36m","7,8","Ingmar Bergman","Szwecja","Dramat","Najlepsze filmy #349"
"Człowiek z blizną","1983","2h 50m","8,2","Brian De Palma","USA","Dramat","Gangsterski"
"Manhattan","1979","1h 36m","7,7","Woody Allen","USA","Komedia obycz.","Top 1979 roku #10"
"Memento","2000","1h 53m","7,6","Christopher Nolan","USA","Kryminał","Thriller"
"Ściana","1982","1h 35m","8,1","Alan Parker","Wielka Brytania","Dramat","Muzyczny"
"Cinema Paradiso","1988","2h 3m","8,1","Giuseppe Tornatore","Francja","Dramat","Najlepsze filmy #76"
"Pociąg","1959","1h 33m","8,1","Jerzy Kawalerowicz","Polska","Dramat","Psychologiczny"
"Powrót Batmana","1992","2h 6m","7,2","Tim Burton","USA","Akcja","Top 1992 roku #16"
"Powrót do przyszłości","1985","1h 56m","7,5","Robert Zemeckis","USA","Komedia","Przygodowy"
"Wściekłe psy","1992","1h 39m","7,9","Quentin Tarantino","USA","Thriller","Gangsterski"
"Zawód: Reporter","1975","1h 59m","7,5","Michelangelo Antonioni","Francja","Dramat",NA
"Zelig","1983","1h 19m","7,8","Woody Allen","USA","Komedia","Dokumentalizowany"
"Słodkie życie","1960","3h","7,9","Federico Fellini","Francja","Dramat obyczajowy","Top 1960 roku #3"
"Love's a Bitch","2000","2h 33m","7,8","Alejandro González Iñárritu","Meksyk","Dramat","Thriller"
"Dyktator","1940","2h 4m","8,0","Charlie Chaplin","USA","Dramat","Komedia"
"Asterix w Brytanii","1986","1h 19m","7,4","Pino Van Lamsweerde","Francja","Animacja","Familijny"
"Dogville","2003","2h 58m","7,7","Lars von Trier","Dania","Dramat","Thriller"
"101 Dalmatyńczyków","1961","1h 19m","7,4","Hamilton Luske","Animacje Disneya","Animacja","Familijny"
"Infiltracja","2006","2h 32m","8,0","Martin Scorsese","USA","Kryminał","Najlepsze filmy #59"
"Bękarty wojny","2009","2h 33m","8,0","Quentin Tarantino","USA","Wojenny","Filmweb poleca"
"Król Lew","1994","1h 29m","8,2","Rob Minkoff","USA","Animacja","Familijny"
"Vicky Cristina Barcelona","2008","1h 36m","7,0","Woody Allen","Hiszpania","Komedia obycz.","Top 2008 roku #36"
"Ex Animo","2013","7m","6,1","Wojciech Wojtkowski","Polska","Animacja","Krótkometrażowy"
"Asterix na olimpiadzie","2008","1h 57m","6,3","Frédéric Forestier","Francja","Familijny","Komedia"
"Asterix i Obelix kontra Cezar","1999","1h 49m","6,8","Claude Zidi","Francja","Familijny","Komedia"
"Body/Ciało","2015","1h 29m","6,3","Małgorzata Szumowska","Polska","Dramat",NA
"Za garść dolarów","1964","1h 39m","7,8","Sergio Leone","RFN","Western","Najlepsze filmy #387"
"Sztandar chwały","2006","2h 12m","7,1","Clint Eastwood","USA","Dramat","Wojenny"
"Focus","2015","1h 44m","6,8","Glenn Ficarra","USA","Komedia kryminalna","Top 2015 roku #56"
"American Beauty","1999","2h 2m","7,6","Sam Mendes","USA","Dramat","Komedia"
"Co robimy w ukryciu","2014","1h 26m","7,2","Jemaine Clement","Nowa Zelandia","Horror","Komedia"
"Listy z Iwo Jimy","2006","2h 21m","7,6","Clint Eastwood","USA","Dramat","Wojenny"
"Akira","1988","2h 4m","7,8","Katsuhiro Ôtomo","Japonia","Sci-Fi","Anime"
"Stalowy gigant","1999","1h 26m","7,7","Brad Bird","USA","Animacja","Familijny"
"Obietnica","2001","2h 4m","6,8","Sean Penn","USA","Dramat","Kryminał"
"Łowca jeleni","1978","3h 2m","8,1","Michael Cimino","USA","Dramat","Wojenny"
"Star Trek II: Gniew Khana","1982","1h 53m","7,0","Nicholas Meyer","USA","Przygodowy","Sci-Fi"
"Pradawny ląd","1988","1h 11m","7,5","Don Bluth","USA","Animacja","Familijny"
"Pradawny Ląd 4: Podróż przez mgły","1996","1h 14m","7,2","Roy Allen Smith","USA","Animacja","Familijny"
"Pradawny ląd 3: Czas wielkich darów","1995","1h 11m","7,0","Roy Allen Smith","USA","Animacja","Familijny"
"Pradawny ląd 2: Przygoda w Wielkiej Dolinie","1994","1h 13m","7,1","Roy Allen Smith","USA","Animacja","Familijny"
"Władca zwierząt 2","1991","1h 47m","5,6","Sylvio Tabet","USA","Fantasy","Przygodowy"
"Znak Smoka","1994","1h 29m","5,0","James Yukich","USA","Fantasy","Przygodowy"
"Władca zwierząt","1982","1h 58m","6,3","Don Coscarelli","USA","Fantasy","Przygodowy"
"Grom w raju","1993","1h 44m","6,0","Douglas Schwartz","USA","Przygodowy",NA
"Mickey, Donald, Goofy: Trzej muszkieterowie","2004","1h 5m","6,8","Donovan Cook","USA","Animacja","Komedia"
"MacGyver i skarb zaginionej Atlantydy","1994","1h 33m","6,9","Michael Vejar","USA","Przygodowy",NA
"Polowanie na Golluma","2009","38m","6,3","Chris Bouchard","Wielka Brytania","Fantasy","Przygodowy"
"Kopalnie króla Salomona","2004","2h 53m","6,3","Steve Boyum","USA","Przygodowy",NA
